,case,choice,cost,ivt,ovt,freq
0,18,0,43.4,117,74,4
1,18,0,19.87,149,89,8
2,18,1,38.76,137,0,0
3,19,0,50.65,174,99,4
4,19,0,164.2,56,149,9
5,19,1,53.58,186,0,0
6,20,1,66.65,209,94,4
7,20,0,159.5,56,139,9
8,20,0,65.55,226,0,0
9,21,0,66.65,209,94,4
10,21,0,159.5,56,139,9
11,21,1,65.55,226,0,0
12,27,0,68.65,209,104,4
13,27,0,174.2,56,144,9
14,27,1,69.16,237,0,0
15,28,0,43.65,117,84,4
16,28,0,19.87,149,63,8
17,28,1,36.48,129,0,0
18,29,1,40.15,117,64,4
19,29,0,19.37,149,58,8
20,29,0,35.72,131,0,0
21,38,0,40.15,117,64,4
22,38,0,19.37,149,58,8
23,38,1,35.72,131,0,0
24,68,0,40.65,117,68,4
25,68,0,19.87,149,63,8
26,68,1,35.72,131,0,0
27,71,0,44.65,117,94,4
28,71,0,19.87,149,88,8
29,71,1,43.89,150,0,0
30,76,0,46.65,174,64,4
31,76,0,158.2,56,139,9
32,76,1,49.02,166,0,0
33,77,0,48.65,174,64,4
34,77,0,159.2,56,139,9
35,77,1,50.73,174,0,0
36,79,1,46.65,260,64,2
37,79,0,159.2,56,129,9
38,79,0,53.01,178,0,0
39,80,0,46.65,260,64,2
40,80,0,159.2,56,129,9
41,80,1,53.01,178,0,0
42,82,0,47.65,260,66,2
43,82,0,154.2,56,134,9
44,82,1,53.77,184,0,0
45,83,0,48.65,260,77,2
46,83,0,159.2,56,139,9
47,83,1,55.29,188,0,0
48,86,0,50.05,281,59,2
49,86,0,156.9,56,124,9
50,86,1,56.24,200,0,0
51,90,0,53.05,281,74,2
52,90,0,159.2,56,139,9
53,90,1,60.23,210,0,0
54,91,0,57.65,268,69,2
55,91,0,146.2,56,123,9
56,91,1,55.29,194,0,0
57,95,0,59.65,209,74,4
58,95,0,150.2,56,109,9
59,95,1,57.0,201,0,0
60,98,0,55.65,209,69,4
61,98,0,149.55,56,104,9
62,98,1,57.0,199,0,0
63,101,0,57.25,215,63,4
64,101,1,146.2,56,94,9
65,101,0,60.23,214,0,0
66,108,0,58.75,215,79,4
67,108,0,146.2,56,100,9
68,108,1,60.8,216,0,0
69,200,0,64.65,317,59,3
70,200,1,154.2,56,134,9
71,200,0,76.95,262,0,0
72,201,0,70.85,237,144,4
73,201,0,154.2,56,134,9
74,201,1,81.32,277,0,0
75,203,0,64.25,316,94,2
